Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,NPK Levels,Vegetable,Yield (kg),Area (sq meters)
22.49080237694725,59.6817760138721,143.4102046166746,6.749175609322633,159.49974664849555,Okra,3124.3634554373953,1360.260622913017
34.01428612819832,63.671782968751074,133.2280240578508,7.366866931281486,77.67679933980673,Okra,2920.8552987349567,1387.4976962068872
29.6398788362281,82.72736966010902,94.03847812571502,6.906666951640833,101.99595415548293,Pumpkin,3012.116194166718,1261.804306127182
26.973169683940732,57.00021930299461,201.816667525372,5.708256457779491,149.49209552867273,Groundmelon,3177.683416698395,1657.0689551435269
18.12037280884873,83.48248424060856,169.1560401271572,5.963950591958889,122.313401678672,Groundmelon,3427.2976890038462,1722.0855302227285
18.119890406724053,44.406721548834575,266.4252480810009,6.0483204600772975,160.78565579523408,Groundmelon,2209.1649077890124,1159.33143477027
16.161672243363988,78.83992186043153,58.02739512051456,6.144660634112112,194.18118518342897,Groundmelon,3237.501952781735,1456.7235953740571
32.3235229154987,82.37738165273682,210.9669818887816,6.913508479876261,67.48200315727962,Pumpkin,1300.6112774618869,577.5025345782271
27.022300234864176,49.09088264186694,240.73721962789028,6.7599144495634835,156.43515745970916,Pumpkin,3628.5643967245855,1632.1047162644168
29.16145155592091,61.51732661861002,239.87164229707676,6.007900095910522,84.55162334481719,Pumpkin,1870.1329237275754,1043.8343684771605
15.411689885916049,48.27498873318278,271.51849177388124,5.668887108639217,112.17150911113538,Okra,2210.380942261851,1034.8072600658404
34.39819704323989,75.33020644971089,232.2584357073735,5.928580511186795,54.92940886927097,Okra,3410.8312379725253,1855.1966191121523
31.648852816008436,66.76738840308283,281.9525154119241,7.960953281546509,70.38610734390484,Okra,2910.9611142730173,1247.0913377776162
19.246782213565524,71.76616733541604,133.16414995522285,6.671367374478681,97.96659335733494,Pumpkin,1925.8839695535044,1238.4180785028632
18.636499344142013,49.824348347810556,175.80235418788578,7.668363761755281,101.29787079319775,Okra,1676.1973333739209,1090.0531389974515
18.668090197068675,50.587293102620976,53.519915820722666,7.621881166672108,184.93778246931436,Groundmelon,3873.1433461317697,2418.1325931639776
21.084844859190753,42.07486627549532,51.7393968258228,6.778798893657184,161.27193638997727,Okra,1263.3290830947603,742.1031464987287
25.495128632644757,56.103376759786485,110.03165511287997,7.266719271151359,195.82744522805615,Pumpkin,1013.0053258280238,658.807252215425
23.638900372842315,67.98723306668374,75.20179928477131,5.981880026031781,139.86072655028607,Pumpkin,3018.8047068590513,1920.8275959285706
20.824582803960837,82.89674569986644,115.05284198393841,7.22099176231727,86.2570598136977,Pumpkin,2843.423281247555,1574.3822481112843
27.237057894447588,73.34637237293404,94.26082363209935,6.180961448158223,99.14825448824644,Pumpkin,3212.8418888553515,2008.288912690779
17.789877213040835,61.76981616998757,57.13000620966206,7.580155241885377,97.97538849379507,Groundmelon,3194.9014948271406,1387.8362749268558
20.842892970704362,87.65600571970688,277.3260366015123,5.709310332772275,98.97414914948774,Okra,3589.7773817980697,2310.2211986051416
22.327236865873836,75.96226002879159,52.05578284722288,7.432846682213194,150.94462596677235,Okra,3766.3257712253703,1564.134603734743
